experiment,experiment_description,metric_focus,scenario,dataset,partition,dirichlet_alpha,model,train_size,test_size,num_clients,malicious_clients,global_rounds,local_epochs,attack,attack_scale,poison_fraction,trigger_pattern,trigger_position,public_source,public_fraction,method,clean_acc,clean_loss,asr,runtime_sec,history_storage_mb,clean_acc_delta_vs_poisoned,asr_drop_vs_poisoned,clean_acc_gap_to_retrain,asr_gap_to_retrain
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha1_backdoor_square,mnist,dirichlet,1.0,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedRecover,0.972,0.08666239166259766,0.002191380569758948,66.08964469999773,484.6160888671875,-0.005333333333333412,0.9934258582907232,0.002666666666666706,0.001460920379839299
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha1_backdoor_square,mnist,dirichlet,1.0,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Crab,0.966,0.11270968882242839,0.5566106647187729,79.89844200000516,484.6160888671875,-0.011333333333333417,0.4390065741417093,0.008666666666666711,0.5529583637691746
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha1_backdoor_square,mnist,dirichlet,1.0,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedUP,0.9686666666666667,0.11290430577596029,0.003652300949598247,16.207093800010625,484.6160888671875,-0.008666666666666711,0.9919649379108839,0.006000000000000005,0.0
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha1_backdoor_square,mnist,dirichlet,1.0,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedSweep,0.9766666666666667,0.07671651840209961,0.91672753834916,4.03941759999725,484.6160888671875,-0.0006666666666667043,0.07888970051132216,0.0020000000000000018,0.9130752373995618
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha1_backdoor_square,mnist,dirichlet,1.0,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,UnlearningBackdoor,0.9713333333333334,0.08749585723876953,0.0007304601899196494,0.7081540999934077,484.6160888671875,-0.006000000000000005,0.9948867786705625,0.0033333333333332993,0.0029218407596785976
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha1_backdoor_square,mnist,dirichlet,1.0,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FAST,0.9666666666666667,0.10226934432983398,0.0,6.189068899984704,484.6160888671875,-0.010666666666666713,0.9956172388604821,0.008000000000000007,0.003652300949598247
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha1_backdoor_square,mnist,dirichlet,1.0,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,MCCFed,0.382,2.2256254069010417,0.0,2.476494999980787,484.6160888671875,-0.5953333333333334,0.9956172388604821,0.5926666666666667,0.003652300949598247
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Poisoned,0.9746666666666667,0.07982321739196778,0.9992695398100804,145.33769509999547,,0.0,0.0,0.006000000000000005,0.9970781592403214
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,RetrainClean,0.9686666666666667,0.08827486483256022,0.002191380569758948,102.92859830000089,484.6160888671875,-0.006000000000000005,0.9970781592403214,0.0,0.0
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedRecover,0.9713333333333334,0.08822680727640787,0.0007304601899196494,66.06331960001262,484.6160888671875,-0.0033333333333332993,0.9985390796201608,0.002666666666666706,0.0014609203798392986
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Crab,0.9586666666666667,0.13581941986083984,0.0014609203798392988,85.71018580000964,484.6160888671875,-0.016000000000000014,0.9978086194302411,0.010000000000000009,0.0007304601899196493
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedUP,0.9633333333333334,0.12478596115112305,0.013878743608473338,15.796121399995172,484.6160888671875,-0.011333333333333306,0.9853907962016071,0.005333333333333301,0.01168736303871439
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedSweep,0.9673333333333334,0.10053643544514974,0.7231555880204529,3.5765941999852657,484.6160888671875,-0.007333333333333303,0.2761139517896275,0.0013333333333332975,0.7209642074506939
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,UnlearningBackdoor,0.9653333333333334,0.09820989227294921,0.0007304601899196494,0.7615431000012904,484.6160888671875,-0.009333333333333305,0.9985390796201608,0.0033333333333332993,0.0014609203798392986
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FAST,0.9766666666666667,0.08336797841389974,0.019722425127830533,1.7824365999840666,484.6160888671875,0.0020000000000000018,0.9795471146822499,0.008000000000000007,0.017531044558071585
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha05_backdoor_square,mnist,dirichlet,0.5,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,MCCFed,0.9493333333333334,0.1572601801554362,0.32724616508400295,11.367719999980181,484.6160888671875,-0.02533333333333332,0.6720233747260774,0.019333333333333313,0.325054784514244
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha01_backdoor_square,mnist,dirichlet,0.1,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Poisoned,0.9673333333333334,0.10230706532796224,0.9861212563915267,139.11287289997563,,0.0,0.0,0.0040000000000000036,0.9831994156318481
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha01_backdoor_square,mnist,dirichlet,0.1,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,RetrainClean,0.9633333333333334,0.11473576354980469,0.0029218407596785976,98.45253410001169,484.6160888671875,-0.0040000000000000036,0.9831994156318481,0.0,0.0
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha01_backdoor_square,mnist,dirichlet,0.1,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedRecover,0.9586666666666667,0.12773206329345704,0.0007304601899196494,63.84586390000186,484.6160888671875,-0.008666666666666711,0.9853907962016071,0.004666666666666708,0.002191380569758948
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha01_backdoor_square,mnist,dirichlet,0.1,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,Crab,0.908,0.27033317311604815,0.0007304601899196494,85.16114809998544,484.6160888671875,-0.05933333333333335,0.9853907962016071,0.055333333333333345,0.002191380569758948
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha01_backdoor_square,mnist,dirichlet,0.1,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedUP,0.9386666666666666,0.1881294034322103,0.007304601899196494,15.554201499995543,484.6160888671875,-0.02866666666666673,0.9788166544923302,0.024666666666666726,0.004382761139517896
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha01_backdoor_square,mnist,dirichlet,0.1,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FedSweep,0.9466666666666667,0.1710138397216797,0.021183345507669833,5.379966799984686,484.6160888671875,-0.020666666666666722,0.9649379108838568,0.01666666666666672,0.018261504747991236
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha01_backdoor_square,mnist,dirichlet,0.1,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,UnlearningBackdoor,0.958,0.13143026606241862,0.0007304601899196494,0.6923466000007465,484.6160888671875,-0.009333333333333416,0.9853907962016071,0.005333333333333412,0.002191380569758948
data_distribution,Dataset and IID/non-IID distribution comparison.,"clean_acc, clean_acc_gap_to_retrain, asr, asr_gap_to_retrain",mnist_dirichlet_alpha01_backdoor_square,mnist,dirichlet,0.1,smallcnn,15000,3000,20,4,60,2,backdoor,1.0,0.7,square,bottom_right,test_split,0.5,FAST,0.9666666666666667,0.09495008532206217,0.6238130021913806,1.0644027999951504,484.6160888671875,-0.0006666666666667043,0.3623082542001461,0.0033333333333332993,0.620891161431702
