asr_iou,client_id,eta_approx,method,post_clean_accuracy,predicted_labels,scenario,scores,true_labels
1.0,2,2.2905088447563675,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,0,5.668598213491687,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,7,3.1309951635495876,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,4,5.129264289446039,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,8,5.063431232441086,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,5,4.552904431263839,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,7,4.761143353998496,federaser,0.969,[0],class,"[0.4999998211860657, 0.013586850836873055, 0.046755556017160416, 5.1924012950621545e-05, 0.005944571923464537, 0.003535100957378745, 0.05792412534356117, 0.0020494619384407997, 0.16254094243049622, 0.20761162042617798]",[0]
1.0,2,7.73527313724434,federaser,0.972,[0],client,"[0.4999980628490448, 0.030424676835536957, 0.012572563253343105, 1.9457391317700967e-05, 1.123868059949018e-05, 0.00436022924259305, 0.0009438294218853116, 0.0022165284026414156, 0.36848995089530945, 0.08096349984407425]",[0]
1.0,1,6.575075483702758,federaser,0.972,[0],client,"[0.5000017881393433, 0.00014856437337584794, 0.053657401353120804, 1.1373366760381032e-05, 0.00028079835465177894, 0.03199627995491028, 0.007352103013545275, 0.0005641414900310338, 0.29126036167144775, 0.11472726613283157]",[0]
1.0,1,8.980010804051338,federaser,0.972,[0],client,"[0.5000017881393433, 0.00014856437337584794, 0.053657401353120804, 1.1373366760381032e-05, 0.00028079835465177894, 0.03199627995491028, 0.007352103013545275, 0.0005641414900310338, 0.29126036167144775, 0.11472726613283157]",[0]
1.0,0,9.607832244729538,federaser,0.972,[0],client,"[0.500001847743988, 0.00010512736480450258, 0.07557325810194016, 5.364095159166027e-07, 0.00011661388271022588, 0.0008924207650125027, 0.012152301147580147, 0.00011841358355013654, 0.2837132215499878, 0.12732629477977753]",[0]
1.0,0,9.75875239139703,federaser,0.972,[0],client,"[0.500001847743988, 0.00010512736480450258, 0.07557325810194016, 5.364095159166027e-07, 0.00011661388271022588, 0.0008924207650125027, 0.012152301147580147, 0.00011841358355013654, 0.2837132215499878, 0.12732629477977753]",[0]
1.0,1,9.545987640696884,federaser,0.972,[0],client,"[0.5000017881393433, 0.00014856437337584794, 0.053657401353120804, 1.1373366760381032e-05, 0.00028079835465177894, 0.03199627995491028, 0.007352103013545275, 0.0005641414900310338, 0.29126036167144775, 0.11472726613283157]",[0]
1.0,8,1.5280836731697593,federaser,0.936,[0],client,"[0.49999988079071045, 2.363005478400737e-05, 0.04879780858755112, 3.531408219714649e-05, 7.1737464168109e-05, 0.0006956894067116082, 0.0006245159893296659, 7.02858014847152e-05, 0.11018942296504974, 0.3394917845726013]",[0]
1.0,9,4.378623627415861,federaser,0.969,[0],client,"[0.4999992847442627, 0.00017414426838513464, 0.0651349350810051, 1.8994925994775258e-05, 0.07012689858675003, 0.0030363784171640873, 0.09283259510993958, 0.015387626364827156, 0.182174414396286, 0.0711146742105484]",[0]
1.0,7,8.85045312607102,federaser,0.972,[0],client,"[0.5000016093254089, 0.00022215551871340722, 0.268001526594162, 6.362935528159142e-05, 0.009478256106376648, 0.0003017630660906434, 0.1377197951078415, 0.0007772167446091771, 0.05617418885231018, 0.027259917929768562]",[0]
1.0,3,2.052666037012268,federaser,0.963,[0],client,"[0.5000000596046448, 0.0698833242058754, 0.016858618706464767, 7.441380876116455e-05, 0.0008256318978965282, 0.003077625297009945, 0.047365933656692505, 0.00010910927085205913, 0.15558212995529175, 0.20622317492961884]",[0]
1.0,5,2.3707553119787206,federaser,0.964,[0],client,"[0.49999937415122986, 0.0002210569946328178, 0.05143815651535988, 0.00010802837641676888, 3.277785435784608e-05, 0.007082272320985794, 0.0010299398563802242, 0.006714143790304661, 0.06251002103090286, 0.37086430191993713]",[0]
1.0,8,1.436137670970261,federaser,0.936,[0],client,"[0.49999988079071045, 2.363005478400737e-05, 0.04879780858755112, 3.531408219714649e-05, 7.1737464168109e-05, 0.0006956894067116082, 0.0006245159893296659, 7.02858014847152e-05, 0.11018942296504974, 0.3394917845726013]",[0]
1.0,1,7.073715414819672,federaser,0.972,[0],client,"[0.5000017881393433, 0.00014856437337584794, 0.053657401353120804, 1.1373366760381032e-05, 0.00028079835465177894, 0.03199627995491028, 0.007352103013545275, 0.0005641414900310338, 0.29126036167144775, 0.11472726613283157]",[0]
1.0,9,5.283092877277988,federaser,0.969,[0],client,"[0.4999992847442627, 0.00017414426838513464, 0.0651349350810051, 1.8994925994775258e-05, 0.07012689858675003, 0.0030363784171640873, 0.09283259510993958, 0.015387626364827156, 0.182174414396286, 0.0711146742105484]",[0]
1.0,3,2.2956923651213574,federaser,0.963,[0],client,"[0.5000000596046448, 0.0698833242058754, 0.016858618706464767, 7.441380876116455e-05, 0.0008256318978965282, 0.003077625297009945, 0.047365933656692505, 0.00010910927085205913, 0.15558212995529175, 0.20622317492961884]",[0]
1.0,3,2.2452515347103104,federaser,0.963,[0],client,"[0.5000000596046448, 0.0698833242058754, 0.016858618706464767, 7.441380876116455e-05, 0.0008256318978965282, 0.003077625297009945, 0.047365933656692505, 0.00010910927085205913, 0.15558212995529175, 0.20622317492961884]",[0]
1.0,6,9.040762340738807,federaser,0.971,[0],client,"[0.4999983012676239, 0.003734293859452009, 0.03222592920064926, 0.00010157572978641838, 0.001969875767827034, 0.005526405293494463, 0.07389885187149048, 0.00022459024330601096, 0.023571282625198364, 0.35874900221824646]",[0]
1.0,0,5.471820031258254,federaser,0.972,[0],client,"[0.500001847743988, 0.00010512736480450258, 0.07557325810194016, 5.364095159166027e-07, 0.00011661388271022588, 0.0008924207650125027, 0.012152301147580147, 0.00011841358355013654, 0.2837132215499878, 0.12732629477977753]",[0]
1.0,6,6.26533873795009,federaser,0.971,[0],client,"[0.4999983012676239, 0.003734293859452009, 0.03222592920064926, 0.00010157572978641838, 0.001969875767827034, 0.005526405293494463, 0.07389885187149048, 0.00022459024330601096, 0.023571282625198364, 0.35874900221824646]",[0]
1.0,7,6.5752559047852595,federaser,0.972,[0],client,"[0.5000016093254089, 0.00022215551871340722, 0.268001526594162, 6.362935528159142e-05, 0.009478256106376648, 0.0003017630660906434, 0.1377197951078415, 0.0007772167446091771, 0.05617418885231018, 0.027259917929768562]",[0]
1.0,2,5.191735046805215,federaser,0.972,[0],client,"[0.4999980628490448, 0.030424676835536957, 0.012572563253343105, 1.9457391317700967e-05, 1.123868059949018e-05, 0.00436022924259305, 0.0009438294218853116, 0.0022165284026414156, 0.36848995089530945, 0.08096349984407425]",[0]
1.0,3,1.9786762975022927,federaser,0.963,[0],client,"[0.5000000596046448, 0.0698833242058754, 0.016858618706464767, 7.441380876116455e-05, 0.0008256318978965282, 0.003077625297009945, 0.047365933656692505, 0.00010910927085205913, 0.15558212995529175, 0.20622317492961884]",[0]
1.0,4,1.956806706071375,federaser,0.965,[0],client,"[0.5000000596046448, 2.9784790967823938e-05, 0.006809634622186422, 4.341416934039444e-05, 0.0036882192362099886, 0.0035569206811487675, 0.18921001255512238, 0.00015918801364023238, 0.23604604601860046, 0.06045672670006752]",[0]
1.0,2,4.064972532347721,federaser,0.972,[0],client,"[0.4999980628490448, 0.030424676835536957, 0.012572563253343105, 1.9457391317700967e-05, 1.123868059949018e-05, 0.00436022924259305, 0.0009438294218853116, 0.0022165284026414156, 0.36848995089530945, 0.08096349984407425]",[0]
1.0,1,5.576130159008519,federaser,0.972,[0],client,"[0.5000017881393433, 0.00014856437337584794, 0.053657401353120804, 1.1373366760381032e-05, 0.00028079835465177894, 0.03199627995491028, 0.007352103013545275, 0.0005641414900310338, 0.29126036167144775, 0.11472726613283157]",[0]
1.0,9,5.619663843688969,federaser,0.969,[0],client,"[0.4999992847442627, 0.00017414426838513464, 0.0651349350810051, 1.8994925994775258e-05, 0.07012689858675003, 0.0030363784171640873, 0.09283259510993958, 0.015387626364827156, 0.182174414396286, 0.0711146742105484]",[0]
1.0,6,6.812617632763683,federaser,0.971,[0],client,"[0.4999983012676239, 0.003734293859452009, 0.03222592920064926, 0.00010157572978641838, 0.001969875767827034, 0.005526405293494463, 0.07389885187149048, 0.00022459024330601096, 0.023571282625198364, 0.35874900221824646]",[0]
1.0,7,7.476256051120961,federaser,0.972,[0],client,"[0.5000016093254089, 0.00022215551871340722, 0.268001526594162, 6.362935528159142e-05, 0.009478256106376648, 0.0003017630660906434, 0.1377197951078415, 0.0007772167446091771, 0.05617418885231018, 0.027259917929768562]",[0]
1.0,2,3.7054796378262296,federaser,0.972,[0],client,"[0.4999980628490448, 0.030424676835536957, 0.012572563253343105, 1.9457391317700967e-05, 1.123868059949018e-05, 0.00436022924259305, 0.0009438294218853116, 0.0022165284026414156, 0.36848995089530945, 0.08096349984407425]",[0]
1.0,9,5.4092665609729345,federaser,0.969,[0],client,"[0.4999992847442627, 0.00017414426838513464, 0.0651349350810051, 1.8994925994775258e-05, 0.07012689858675003, 0.0030363784171640873, 0.09283259510993958, 0.015387626364827156, 0.182174414396286, 0.0711146742105484]",[0]
1.0,2,5.7106564295798865,rapid_retrain,0.972,[0],sample,"[0.4999980628490448, 0.030424676835536957, 0.012572563253343105, 1.9457391317700967e-05, 1.123868059949018e-05, 0.00436022924259305, 0.0009438294218853116, 0.0022165284026414156, 0.36848995089530945, 0.08096349984407425]",[0]
1.0,4,2.4865539450512584,rapid_retrain,0.965,[0],sample,"[0.5000000596046448, 2.9784790967823938e-05, 0.006809634622186422, 4.341416934039444e-05, 0.0036882192362099886, 0.0035569206811487675, 0.18921001255512238, 0.00015918801364023238, 0.23604604601860046, 0.06045672670006752]",[0]
1.0,5,2.928694333547562,rapid_retrain,0.964,[0],sample,"[0.49999937415122986, 0.0002210569946328178, 0.05143815651535988, 0.00010802837641676888, 3.277785435784608e-05, 0.007082272320985794, 0.0010299398563802242, 0.006714143790304661, 0.06251002103090286, 0.37086430191993713]",[0]
1.0,8,1.7518860036090331,rapid_retrain,0.936,[0],sample,"[0.49999988079071045, 2.363005478400737e-05, 0.04879780858755112, 3.531408219714649e-05, 7.1737464168109e-05, 0.0006956894067116082, 0.0006245159893296659, 7.02858014847152e-05, 0.11018942296504974, 0.3394917845726013]",[0]
1.0,7,8.214285787559263,rapid_retrain,0.972,[0],sample,"[0.5000016093254089, 0.00022215551871340722, 0.268001526594162, 6.362935528159142e-05, 0.009478256106376648, 0.0003017630660906434, 0.1377197951078415, 0.0007772167446091771, 0.05617418885231018, 0.027259917929768562]",[0]
1.0,6,3.8337394040296298,rapid_retrain,0.971,[0],sample,"[0.4999983012676239, 0.003734293859452009, 0.03222592920064926, 0.00010157572978641838, 0.001969875767827034, 0.005526405293494463, 0.07389885187149048, 0.00022459024330601096, 0.023571282625198364, 0.35874900221824646]",[0]
1.0,4,2.405181229650818,rapid_retrain,0.965,[0],sample,"[0.5000000596046448, 2.9784790967823938e-05, 0.006809634622186422, 4.341416934039444e-05, 0.0036882192362099886, 0.0035569206811487675, 0.18921001255512238, 0.00015918801364023238, 0.23604604601860046, 0.06045672670006752]",[0]
1.0,9,4.474973484117945,rapid_retrain,0.969,[0],sample,"[0.4999992847442627, 0.00017414426838513464, 0.0651349350810051, 1.8994925994775258e-05, 0.07012689858675003, 0.0030363784171640873, 0.09283259510993958, 0.015387626364827156, 0.182174414396286, 0.0711146742105484]",[0]
1.0,9,3.8626776744597335,rapid_retrain,0.969,[0],sample,"[0.4999992847442627, 0.00017414426838513464, 0.0651349350810051, 1.8994925994775258e-05, 0.07012689858675003, 0.0030363784171640873, 0.09283259510993958, 0.015387626364827156, 0.182174414396286, 0.0711146742105484]",[0]
